network,group,members,size,degree
network_011,18,4;10,2,14
network_011,19,5;6,2,8
network_011,20,6;7,2,8
network_011,21,7;8,2,5
network_011,22,8;9,2,4
network_011,23,9;10,2,7
network_011,24,10;11,2,12
network_011,25,0;1;2,3,21
network_011,26,0;1;11,3,18
network_011,27,0;2;11,3,17
network_011,28,0;10;11,3,15
network_011,29,1;2;3,3,23
network_011,30,1;2;11,3,21
network_011,31,1;3;4,3,21
network_011,32,1;4;6,3,20
network_011,33,2;7;8,3,13
network_011,34,3;4;5,3,15
network_011,35,3;4;10,3,18
network_011,36,4;5;6,3,13
network_012,0,0;1,2,11
network_012,1,0;2,2,11
network_012,2,0;3,2,12
network_012,3,0;10,2,14
network_012,4,0;11,2,14
network_012,5,1;2,2,8
network_012,6,1;3,2,9
network_012,7,2;3,2,9
network_012,8,3;4,2,9
network_012,9,4;5,2,4
network_012,10,4;6,2,5
network_012,11,5;6,2,4
network_012,12,6;7,2,4
network_012,13,7;8,2,7
network_012,14,8;9,2,9
network_012,15,8;10,2,11
network_012,16,8;11,2,11
network_012,17,9;10,2,10
network_012,18,9;11,2,10
network_012,19,10;11,2,11
network_012,20,0;1;2,3,12
network_012,21,0;1;3,3,13
network_012,22,0;2;3,3,13
network_012,23,0;10;11,3,17
network_012,24,1;2;3,3,10
network_012,25,4;5;6,3,5
network_012,26,8;9;10,3,12
network_012,27,8;9;11,3,12
network_012,28,8;10;11,3,13
network_012,29,9;10;11,3,12
network_013,0,0;1,2,11
network_013,1,0;5,2,12
network_013,2,0;7,2,14
network_013,3,0;11,2,12
network_013,4,1;2,2,7
network_013,5,1;4,2,12
network_013,6,1;7,2,14
network_013,7,1;8,2,12
network_013,8,2;3,2,3
network_013,9,3;4,2,8
network_013,10,3;10,2,9
network_013,11,4;5,2,11
network_013,12,4;6,2,8
network_013,13,4;11,2,13
network_013,14,5;6,2,9
network_013,15,5;8,2,14
network_013,16,5;11,2,13
network_013,17,6;7,2,13
network_013,18,7;8,2,15
network_013,19,7;10,2,15
network_013,20,7;11,2,16
network_013,21,8;9,2,8
network_013,22,8;10,2,12
network_013,23,9;10,2,8
network_013,24,10;11,2,14
network_013,25,0;1;7,3,17
network_013,26,0;5;11,3,16
network_013,27,0;7;11,3,18
network_013,28,1;7;8,3,18
network_013,29,4;5;6,3,12
network_013,30,4;5;11,3,16
network_013,31,7;8;10,3,18
network_013,32,7;10;11,3,20
network_013,33,8;9;10,3,12
network_014,0,0;1,2,32
network_014,1,0;3,2,29
network_014,2,0;4,2,26
network_014,3,0;5,2,22
network_014,4,0;6,2,26
network_014,5,0;8,2,24
network_014,6,0;9,2,25
network_014,7,0;11,2,23
network_014,8,1;2,2,18
network_014,9,1;3,2,25
network_014,10,1;4,2,25
network_014,11,1;6,2,23
network_014,12,1;7,2,19
network_014,13,1;9,2,23
network_014,14,1;11,2,21
network_014,15,2;3,2,14
network_014,16,3;4,2,21
network_014,17,3;6,2,20
network_014,18,3;9,2,19
network_014,19,4;5,2,13
network_014,20,4;8,2,16
network_014,21,4;10,2,12
network_014,22,5;6,2,12
network_014,23,6;7,2,11
network_014,24,7;8,2,10
network_014,25,8;9,2,14
network_014,26,8;11,2,11
network_014,27,9;10,2,10
network_014,28,10;11,2,7
network_014,29,0;1;3,3,36
network_014,30,0;1;4,3,36
network_014,31,0;1;6,3,35
network_014,32,0;1;9,3,35
network_014,33,0;1;11,3,34
network_014,34,0;3;4,3,33
network_014,35,0;3;6,3,33
network_014,36,0;3;9,3,32
network_014,37,0;4;5,3,27
network_014,38,0;4;8,3,29
network_014,39,0;5;6,3,27
network_014,40,0;8;9,3,28
network_014,41,0;8;11,3,26
network_014,42,1;2;3,3,25
network_014,43,1;3;4,3,31
network_014,44,1;3;6,3,29
network_014,45,1;3;9,3,29
network_014,46,1;6;7,3,24
network_015,0,0;1,2,4
network_015,1,0;11,2,7
network_015,2,1;2,2,5
network_015,3,1;3,2,5
network_015,4,2;3,2,5
network_015,5,2;7,2,9
network_015,6,3;4,2,6
network_015,7,4;5,2,7
network_015,8,4;7,2,8
network_015,9,5;6,2,6
network_015,10,5;7,2,9
network_015,11,5;10,2,11
network_015,12,6;7,2,7
network_015,13,7;8,2,12
network_015,14,8;9,2,9
network_015,15,8;10,2,10
network_015,16,8;11,2,10
network_015,17,9;10,2,9
network_015,18,9;11,2,9
network_015,19,10;11,2,10
network_015,20,1;2;3,3,6
network_015,21,4;5;7,3,10
network_015,22,5;6;7,3,9
network_015,23,8;9;10,3,11
network_015,24,8;9;11,3,11
network_015,25,8;10;11,3,12
network_015,26,9;10;11,3,11
network_016,0,0;1,2,6
network_016,1,0;3,2,14
network_016,2,0;8,2,12
network_016,3,0;11,2,5
network_016,4,1;2,2,5
network_016,5,1;7,2,6
network_016,6,2;3,2,13
network_016,7,2;8,2,11
network_016,8,3;4,2,14
network_016,9,3;5,2,15
network_016,10,3;6,2,15
network_016,11,3;8,2,17
network_016,12,4;5,2,10
network_016,13,4;6,2,9
network_016,14,5;6,2,11
network_016,15,5;8,2,15
network_016,16,6;7,2,10
network_016,17,7;8,2,12
network_016,18,7;9,2,6
network_016,19,8;9,2,11
network_016,20,9;10,2,4
network_016,21,10;11,2,2
network_016,22,0;3;8,3,19
network_016,23,2;3;8,3,18
network_016,24,3;4;5,3,16
network_016,25,3;4;6,3,16
network_016,26,3;5;6,3,17
network_016,27,3;5;8,3,20
network_016,28,4;5;6,3,12
network_016,29,7;8;9,3,13
network_017,0,0;1,2,14
network_017,1,0;3,2,17
network_017,2,0;5,2,14
network_017,3,0;11,2,10
network_017,4,1;2,2,10
network_017,5,1;3,2,19
network_017,6,1;5,2,16
network_017,7,1;7,2,13
network_017,8,1;10,2,11
network_017,9,2;3,2,14
network_017,10,3;4,2,14
network_017,11,3;5,2,18
network_017,12,3;6,2,19
network_017,13,3;11,2,16
network_017,14,4;5,2,10
network_017,15,5;6,2,15
network_017,16,6;7,2,10
network_017,17,6;8,2,9
network_017,18,6;9,2,9
network_017,19,7;8,2,7
network_017,20,7;11,2,8
network_017,21,8;9,2,6
network_017,22,9;10,2,5
network_017,23,10;11,2,6
network_017,24,0;1;3,3,21
network_017,25,0;1;5,3,19
network_017,26,0;3;5,3,20
network_017,27,0;3;11,3,19
network_017,28,1;2;3,3,19
network_017,29,1;3;5,3,22
network_017,30,3;4;5,3,18
network_017,31,3;5;6,3,23
network_017,32,6;7;8,3,11
network_017,33,6;8;9,3,10
network_018,0,0;1,2,9
network_018,1,0;2,2,9
network_018,2,0;3,2,10
network_018,3,0;11,2,9
network_018,4,1;2,2,8
network_018,5,1;3,2,9
network_018,6,2;3,2,9
network_018,7,3;4,2,7
network_018,8,4;5,2,5
network_018,9,5;6,2,5
network_018,10,5;7,2,6
network_018,11,5;9,2,7
network_018,12,6;7,2,4
network_018,13,7;8,2,8
network_018,14,8;9,2,7
network_018,15,8;10,2,7
network_018,16,8;11,2,7
network_018,17,9;10,2,6
network_018,18,10;11,2,6
network_018,19,0;1;2,3,10
network_018,20,0;1;3,3,11
network_018,21,0;2;3,3,11
network_018,22,1;2;3,3,10
network_018,23,5;6;7,3,6
network_018,24,8;9;10,3,8
network_018,25,8;10;11,3,8
network_019,0,0;1,2,10
network_019,1,0;3,2,11
network_019,2,0;4,2,12
network_019,3,0;7,2,10
network_019,4,0;11,2,12
network_019,5,1;2,2,4
network_019,6,1;5,2,6
network_019,7,1;10,2,8
network_019,8,2;3,2,7
network_019,9,3;4,2,12
network_019,10,3;7,2,9
network_019,11,3;9,2,11
network_019,12,4;5,2,10
network_019,13,4;10,2,11
network_019,14,4;11,2,11
network_019,15,5;6,2,4
network_019,16,5;9,2,8
network_019,17,6;7,2,5
network_019,18,7;8,2,5
network_019,19,8;9,2,6
network_019,20,9;10,2,9
network_019,21,9;11,2,10
network_019,22,10;11,2,9
network_019,23,0;3;4,3,15
network_019,24,0;3;7,3,13
network_019,25,0;4;11,3,15
network_019,26,4;10;11,3,13
network_019,27,9;10;11,3,12
network_020,0,0;1,2,14
network_020,1,0;2,2,16
network_020,2,0;3,2,15
network_020,3,0;11,2,11
network_020,4,1;2,2,19
network_020,5,1;3,2,16
network_020,6,1;4,2,14
network_020,7,1;5,2,13
network_020,8,2;3,2,19
network_020,9,2;9,2,19
network_020,10,2;10,2,14
network_020,11,2;11,2,15
network_020,12,3;4,2,15
network_020,13,3;9,2,17
network_020,14,4;5,2,10
network_020,15,4;9,2,14
network_020,16,5;6,2,7
network_020,17,5;9,2,13
network_020,18,6;7,2,3
network_020,19,6;11,2,7
network_020,20,7;8,2,2
network_020,21,8;9,2,10
network_020,22,9;10,2,12
network_020,23,10;11,2,8
network_020,24,0;1;2,3,21
network_020,25,0;1;3,3,19
network_020,26,0;2;3,3,21
network_020,27,0;2;11,3,18
network_020,28,1;2;3,3,23
network_020,29,1;3;4,3,19
network_020,30,1;4;5,3,16
network_020,31,2;3;9,3,24
network_020,32,2;9;10,3,20
network_020,33,2;10;11,3,16
network_020,34,3;4;9,3,20
network_020,35,4;5;9,3,16
network_021,0,0;1,2,6
network_021,1,0;2,2,7
network_021,2,0;3,2,7
network_021,3,0;11,2,8
network_021,4,1;2,2,5
network_021,5,2;3,2,6
network_021,6,3;4,2,4
network_021,7,4;5,2,4
network_021,8,5;6,2,4
network_021,9,5;7,2,5
network_021,10,6;7,2,4
network_021,11,7;8,2,6
network_021,12,8;9,2,6
network_021,13,8;10,2,6
network_021,14,9;10,2,6
network_021,15,9;11,2,6
network_021,16,10;11,2,6
network_021,17,0;1;2,3,7
network_021,18,0;2;3,3,8
network_021,19,5;6;7,3,5
network_021,20,8;9;10,3,7
network_021,21,9;10;11,3,7
network_022,0,0;1,2,9
network_022,1,0;3,2,9
network_022,2,0;4,2,15
network_022,3,0;11,2,9
network_022,4,1;2,2,9
network_022,5,1;9,2,8
network_022,6,1;11,2,8
network_022,7,2;3,2,8
network_022,8,2;4,2,14
network_022,9,2;8,2,8
network_022,10,3;4,2,13
network_022,11,4;5,2,12
network_022,12,4;6,2,16
network_022,13,4;8,2,14
network_022,14,4;11,2,15
network_022,15,5;6,2,7
network_022,16,6;7,2,7
network_022,17,6;9,2,9
network_022,18,6;10,2,8
network_022,19,7;8,2,5
network_022,20,8;9,2,8
network_022,21,9;10,2,6
network_022,22,10;11,2,8
network_022,23,0;1;11,3,11
network_022,24,0;3;4,3,16
network_022,25,0;4;11,3,17
network_022,26,2;3;4,3,15
network_022,27,2;4;8,3,16
network_022,28,4;5;6,3,16
network_022,29,6;9;10,3,10
network_023,0,0;1,2,14
network_023,1,0;3,2,13
network_023,2,0;4,2,11
network_023,3,0;7,2,8
network_023,4,0;11,2,7
network_023,5,1;2,2,15
network_023,6,1;3,2,15
network_023,7,1;6,2,11
network_023,8,1;8,2,13
network_023,9,1;10,2,15
network_023,10,2;3,2,15
network_023,11,2;5,2,10
network_023,12,2;9,2,12
network_023,13,2;10,2,13
network_023,14,3;4,2,14
network_023,15,3;10,2,15
network_023,16,4;5,2,8
network_023,17,4;8,2,9
network_023,18,4;9,2,10
network_023,19,5;6,2,4
network_023,20,6;7,2,4
network_023,21,7;8,2,6
network_023,22,8;9,2,8
network_023,23,9;10,2,12
network_023,24,10;11,2,9
network_023,25,0;1;3,3,18
network_023,26,0;3;4,3,17
network_023,27,1;2;3,3,19
network_023,28,1;2;10,3,18
network_023,29,1;3;10,3,19
network_023,30,2;3;10,3,18
network_023,31,2;9;10,3,16
network_023,32,4;8;9,3,12
network_024,0,0;1,2,10
network_024,1,0;2,2,10
network_024,2,0;3,2,11
network_024,3,0;9,2,9
network_024,4,0;11,2,9
network_024,5,1;2,2,8
network_024,6,1;3,2,9
network_024,7,2;3,2,9
network_024,8,3;4,2,7
network_024,9,4;5,2,4
network_024,10,5;6,2,4
network_024,11,5;7,2,5
network_024,12,6;7,2,4
network_024,13,7;8,2,5
network_024,14,8;9,2,4
network_024,15,8;11,2,4
network_024,16,9;10,2,3
network_024,17,10;11,2,3
network_024,18,0;1;2,3,11
network_024,19,0;1;3,3,12
network_024,20,0;2;3,3,12
network_024,21,1;2;3,3,10
network_024,22,5;6;7,3,5
network_025,0,0;1,2,7
network_025,1,0;4,2,8
network_025,2,0;8,2,14
network_025,3,0;11,2,7
network_025,4,1;2,2,5
network_025,5,1;3,2,8
network_025,6,2;3,2,8
network_025,7,2;7,2,6
network_025,8,3;4,2,11
network_025,9,3;10,2,10
network_025,10,3;11,2,8
network_025,11,4;5,2,8
network_025,12,4;8,2,14
network_025,13,5;6,2,7
network_025,14,5;8,2,13
network_025,15,6;7,2,6
network_025,16,6;8,2,13
network_025,17,7;8,2,13
network_025,18,8;9,2,12
network_025,19,8;10,2,15
network_025,20,9;10,2,6
network_025,21,10;11,2,7
network_025,22,0;4;8,3,16
network_025,23,1;2;3,3,9
network_025,24,3;10;11,3,11
network_025,25,4;5;8,3,15
network_025,26,5;6;8,3,14
network_025,27,6;7;8,3,14
network_025,28,8;9;10,3,15
network_026,0,0;1,2,21
network_026,1,0;2,2,20
network_026,2,0;3,2,19
network_026,3,0;4,2,17
network_026,4,0;10,2,23
network_026,5,0;11,2,20
network_026,6,1;2,2,19
network_026,7,1;3,2,17
network_026,8,1;5,2,15
network_026,9,1;8,2,17
network_026,10,1;11,2,19
network_026,11,2;3,2,18
network_026,12,2;10,2,21
network_026,13,2;11,2,18
network_026,14,3;4,2,13
network_026,15,3;8,2,15
network_026,16,4;5,2,8
network_026,17,4;6,2,7
network_026,18,5;6,2,6
network_026,19,5;10,2,16
network_026,20,6;7,2,8
network_026,21,7;8,2,11
network_026,22,7;10,2,15
network_026,23,7;11,2,14
network_026,24,8;9,2,8
network_026,25,8;10,2,17
network_026,26,9;10,2,13
network_026,27,10;11,2,19
network_026,28,0;1;2,3,25
network_026,29,0;1;3,3,24
network_026,30,0;1;11,3,26
network_026,31,0;2;3,3,24
network_026,32,0;2;10,3,28
network_026,33,0;2;11,3,24
network_026,34,0;3;4,3,22
network_026,35,0;10;11,3,27
network_026,36,1;2;3,3,23
network_026,37,1;2;11,3,24
network_026,38,1;3;8,3,22
network_026,39,2;10;11,3,25
network_026,40,4;5;6,3,9
network_026,41,7;8;10,3,19
network_026,42,7;10;11,3,21
network_026,43,8;9;10,3,17
network_027,0,0;1,2,9
network_027,1,0;2,2,9
network_027,2,0;3,2,10
network_027,3,0;11,2,11
network_027,4,1;2,2,8
network_027,5,1;3,2,9
network_027,6,2;3,2,9
network_027,7,3;4,2,9
network_027,8,4;5,2,6
network_027,9,4;6,2,6
network_027,10,5;6,2,6
network_027,11,5;7,2,6
network_027,12,6;7,2,6
network_027,13,7;8,2,6
network_027,14,8;9,2,6
network_027,15,8;11,2,7
network_027,16,9;10,2,5
network_027,17,9;11,2,7
network_027,18,10;11,2,6
network_027,19,0;1;2,3,10
network_027,20,0;1;3,3,11
network_027,21,0;2;3,3,11
network_027,22,1;2;3,3,10
network_027,23,4;5;6,3,7
network_027,24,5;6;7,3,7
network_027,25,8;9;11,3,8
network_027,26,9;10;11,3,7
network_028,0,0;1,2,6
network_028,1,0;8,2,6
network_028,2,0;11,2,7
network_028,3,1;2,2,6
network_028,4,1;9,2,7
network_028,5,1;11,2,8
network_028,6,2;3,2,4
network_028,7,2;8,2,5
network_028,8,3;4,2,3
network_028,9,3;11,2,7
network_028,10,4;5,2,6
network_028,11,5;6,2,8
network_028,12,5;7,2,8
network_028,13,5;10,2,8
network_028,14,6;7,2,8
network_028,15,6;9,2,7
network_028,16,6;11,2,9
network_028,17,7;8,2,8
network_028,18,7;10,2,8
network_028,19,8;9,2,6
network_028,20,9;10,2,7
network_028,21,10;11,2,9
network_028,22,0;1;11,3,9
network_028,23,5;6;7,3,10
network_028,24,5;7;10,3,10
network_029,0,0;1,2,16
network_029,1,0;4,2,9
network_029,2,0;7,2,8
network_029,3,0;8,2,8
network_029,4,0;11,2,8
network_029,5,1;2,2,17
network_029,6,1;3,2,18
network_029,7,1;5,2,16
network_029,8,1;6,2,17
network_029,9,1;11,2,13
network_029,10,2;3,2,16
network_029,11,2;6,2,15
network_029,12,2;9,2,10
network_029,13,2;10,2,10
network_029,14,3;4,2,12
network_029,15,3;5,2,14
network_029,16,3;6,2,16
network_029,17,4;5,2,9
network_029,18,5;6,2,14
network_029,19,6;7,2,12
network_029,20,7;8,2,5
network_029,21,8;9,2,6
network_029,22,9;10,2,5
network_029,23,10;11,2,6
network_029,24,0;1;11,3,17
network_029,25,0;7;8,3,9
network_029,26,1;2;3,3,22
network_029,27,1;2;6,3,21
network_029,28,1;3;5,3,20
network_029,29,1;3;6,3,21
network_029,30,1;5;6,3,20
network_029,31,2;3;6,3,20
network_029,32,2;9;10,3,11
network_029,33,3;4;5,3,15
network_029,34,3;5;6,3,18
network_030,0,0;1,2,7
network_030,1,0;3,2,8
network_030,2,0;6,2,10
network_030,3,0;11,2,10
network_030,4,1;2,2,5
network_030,5,1;3,2,7
network_030,6,2;3,2,6
network_030,7,3;4,2,11
network_030,8,4;5,2,11
network_030,9,4;6,2,10
network_030,10,4;7,2,13
network_030,11,5;6,2,11
network_030,12,5;7,2,13
network_030,13,5;10,2,15
network_030,14,6;7,2,13
network_030,15,7;8,2,15
network_030,16,7;10,2,16
network_030,17,8;9,2,10
network_030,18,8;10,2,13
network_030,19,8;11,2,11
network_030,20,9;10,2,12
network_030,21,9;11,2,9
network_030,22,10;11,2,13
network_030,23,0;1;3,3,9
network_030,24,1;2;3,3,7
network_030,25,4;5;6,3,13
network_030,26,4;5;7,3,15
network_030,27,4;6;7,3,15
network_030,28,5;6;7,3,15
network_030,29,5;7;10,3,19
network_030,30,7;8;10,3,19
network_030,31,8;9;10,3,14
network_030,32,8;9;11,3,12
network_030,33,8;10;11,3,15
network_030,34,9;10;11,3,14
network_031,0,0;1,2,11
network_031,1,0;2,2,13
network_031,2,0;3,2,13
network_031,3,0;8,2,13
network_031,4,0;9,2,14
network_031,5,0;11,2,13
network_031,6,1;2,2,7
network_031,7,2;3,2,10
network_031,8,2;8,2,10
network_031,9,3;4,2,6
network_031,10,3;9,2,10
network_031,11,4;5,2,5
network_031,12,5;6,2,6
network_031,13,5;10,2,6
network_031,14,5;11,2,6
network_031,15,6;7,2,3
network_031,16,6;9,2,8
network_031,17,7;8,2,6
