network,u,v
network_010,0,11
network_010,1,2
network_010,1,11
network_010,2,3
network_010,2,4
network_010,2,9
network_010,2,11
network_010,3,4
network_010,3,7
network_010,4,5
network_010,5,6
network_010,6,7
network_010,6,11
network_010,7,8
network_010,8,9
network_010,8,10
network_010,9,10
network_010,9,11
network_010,10,11
network_011,0,1
network_011,0,2
network_011,0,10
network_011,0,11
network_011,1,2
network_011,1,3
network_011,1,4
network_011,1,6
network_011,1,11
network_011,2,3
network_011,2,7
network_011,2,8
network_011,2,11
network_011,3,4
network_011,3,5
network_011,3,10
network_011,4,5
network_011,4,6
network_011,4,10
network_011,5,6
network_011,6,7
network_011,7,8
network_011,8,9
network_011,9,10
network_011,10,11
network_012,0,1
network_012,0,2
network_012,0,3
network_012,0,10
network_012,0,11
network_012,1,2
network_012,1,3
network_012,2,3
network_012,3,4
network_012,4,5
network_012,4,6
network_012,5,6
network_012,6,7
network_012,7,8
network_012,8,9
network_012,8,10
network_012,8,11
network_012,9,10
network_012,9,11
network_012,10,11
network_013,0,1
network_013,0,5
network_013,0,7
network_013,0,11
network_013,1,2
network_013,1,4
network_013,1,7
network_013,1,8
network_013,2,3
network_013,3,4
network_013,3,10
network_013,4,5
network_013,4,6
network_013,4,11
network_013,5,6
network_013,5,8
network_013,5,11
network_013,6,7
network_013,7,8
network_013,7,10
network_013,7,11
network_013,8,9
network_013,8,10
network_013,9,10
network_013,10,11
network_014,0,1
network_014,0,3
network_014,0,4
network_014,0,5
network_014,0,6
network_014,0,8
network_014,0,9
network_014,0,11
network_014,1,2
network_014,1,3
network_014,1,4
network_014,1,6
network_014,1,7
network_014,1,9
network_014,1,11
network_014,2,3
network_014,3,4
network_014,3,6
network_014,3,9
network_014,4,5
network_014,4,8
network_014,4,10
network_014,5,6
network_014,6,7
network_014,7,8
network_014,8,9
network_014,8,11
network_014,9,10
network_014,10,11
network_015,0,1
network_015,0,11
network_015,1,2
network_015,1,3
network_015,2,3
network_015,2,7
network_015,3,4
network_015,4,5
network_015,4,7
network_015,5,6
network_015,5,7
network_015,5,10
network_015,6,7
network_015,7,8
network_015,8,9
network_015,8,10
network_015,8,11
network_015,9,10
network_015,9,11
network_015,10,11
network_016,0,1
network_016,0,3
network_016,0,8
network_016,0,11
network_016,1,2
network_016,1,7
network_016,2,3
network_016,2,8
network_016,3,4
network_016,3,5
network_016,3,6
network_016,3,8
network_016,4,5
network_016,4,6
network_016,5,6
network_016,5,8
network_016,6,7
network_016,7,8
network_016,7,9
network_016,8,9
network_016,9,10
network_016,10,11
network_017,0,1
network_017,0,3
network_017,0,5
network_017,0,11
network_017,1,2
network_017,1,3
network_017,1,5
network_017,1,7
network_017,1,10
network_017,2,3
network_017,3,4
network_017,3,5
network_017,3,6
network_017,3,11
network_017,4,5
network_017,5,6
network_017,6,7
network_017,6,8
network_017,6,9
network_017,7,8
network_017,7,11
network_017,8,9
network_017,9,10
network_017,10,11
network_018,0,1
network_018,0,2
network_018,0,3
network_018,0,11
network_018,1,2
network_018,1,3
network_018,2,3
network_018,3,4
network_018,4,5
network_018,5,6
network_018,5,7
network_018,5,9
network_018,6,7
network_018,7,8
network_018,8,9
network_018,8,10
network_018,8,11
network_018,9,10
network_018,10,11
network_019,0,1
network_019,0,3
network_019,0,4
network_019,0,7
network_019,0,11
network_019,1,2
network_019,1,5
network_019,1,10
network_019,2,3
network_019,3,4
network_019,3,7
network_019,3,9
network_019,4,5
network_019,4,10
network_019,4,11
network_019,5,6
network_019,5,9
network_019,6,7
network_019,7,8
network_019,8,9
network_019,9,10
network_019,9,11
network_019,10,11
network_020,0,1
network_020,0,2
network_020,0,3
network_020,0,11
network_020,1,2
network_020,1,3
network_020,1,4
network_020,1,5
network_020,2,3
network_020,2,9
network_020,2,10
network_020,2,11
network_020,3,4
network_020,3,9
network_020,4,5
network_020,4,9
network_020,5,6
network_020,5,9
network_020,6,7
network_020,6,11
network_020,7,8
network_020,8,9
network_020,9,10
network_020,10,11
network_021,0,1
network_021,0,2
network_021,0,3
network_021,0,11
network_021,1,2
network_021,2,3
network_021,3,4
network_021,4,5
network_021,5,6
network_021,5,7
network_021,6,7
network_021,7,8
network_021,8,9
network_021,8,10
network_021,9,10
network_021,9,11
network_021,10,11
network_022,0,1
network_022,0,3
network_022,0,4
network_022,0,11
network_022,1,2
network_022,1,9
network_022,1,11
network_022,2,3
network_022,2,4
network_022,2,8
network_022,3,4
network_022,4,5
network_022,4,6
network_022,4,8
network_022,4,11
network_022,5,6
network_022,6,7
network_022,6,9
network_022,6,10
network_022,7,8
network_022,8,9
network_022,9,10
network_022,10,11
network_023,0,1
network_023,0,3
network_023,0,4
network_023,0,7
network_023,0,11
network_023,1,2
network_023,1,3
network_023,1,6
network_023,1,8
network_023,1,10
network_023,2,3
network_023,2,5
network_023,2,9
network_023,2,10
network_023,3,4
network_023,3,10
network_023,4,5
network_023,4,8
network_023,4,9
network_023,5,6
network_023,6,7
network_023,7,8
network_023,8,9
network_023,9,10
network_023,10,11
network_024,0,1
network_024,0,2
network_024,0,3
network_024,0,9
network_024,0,11
network_024,1,2
network_024,1,3
network_024,2,3
network_024,3,4
network_024,4,5
network_024,5,6
network_024,5,7
network_024,6,7
network_024,7,8
network_024,8,9
network_024,8,11
network_024,9,10
network_024,10,11
network_025,0,1
network_025,0,4
network_025,0,8
network_025,0,11
network_025,1,2
network_025,1,3
network_025,2,3
network_025,2,7
network_025,3,4
network_025,3,10
network_025,3,11
network_025,4,5
network_025,4,8
network_025,5,6
network_025,5,8
network_025,6,7
network_025,6,8
network_025,7,8
network_025,8,9
network_025,8,10
network_025,9,10
network_025,10,11
network_026,0,1
network_026,0,2
network_026,0,3
network_026,0,4
network_026,0,10
network_026,0,11
network_026,1,2
network_026,1,3
network_026,1,5
network_026,1,8
network_026,1,11
network_026,2,3
network_026,2,10
network_026,2,11
network_026,3,4
network_026,3,8
network_026,4,5
network_026,4,6
network_026,5,6
network_026,5,10
network_026,6,7
network_026,7,8
network_026,7,10
network_026,7,11
network_026,8,9
network_026,8,10
network_026,9,10
network_026,10,11
network_027,0,1
network_027,0,2
network_027,0,3
network_027,0,11
network_027,1,2
network_027,1,3
network_027,2,3
network_027,3,4
network_027,4,5
network_027,4,6
network_027,5,6
network_027,5,7
network_027,6,7
network_027,7,8
network_027,8,9
network_027,8,11
network_027,9,10
network_027,9,11
network_027,10,11
network_028,0,1
network_028,0,8
network_028,0,11
network_028,1,2
network_028,1,9
network_028,1,11
network_028,2,3
network_028,2,8
network_028,3,4
network_028,3,11
network_028,4,5
network_028,5,6
network_028,5,7
network_028,5,10
network_028,6,7
network_028,6,9
network_028,6,11
network_028,7,8
network_028,7,10
network_028,8,9
network_028,9,10
network_028,10,11
network_029,0,1
network_029,0,4
network_029,0,7
network_029,0,8
network_029,0,11
network_029,1,2
network_029,1,3
network_029,1,5
network_029,1,6
network_029,1,11
network_029,2,3
network_029,2,6
network_029,2,9
network_029,2,10
network_029,3,4
network_029,3,5
network_029,3,6
network_029,4,5
network_029,5,6
network_029,6,7
network_029,7,8
network_029,8,9
network_029,9,10
network_029,10,11
network_030,0,1
network_030,0,3
network_030,0,6
network_030,0,11
network_030,1,2
network_030,1,3
network_030,2,3
network_030,3,4
network_030,4,5
network_030,4,6
network_030,4,7
network_030,5,6
network_030,5,7
network_030,5,10
network_030,6,7
network_030,7,8
network_030,7,10
network_030,8,9
network_030,8,10
network_030,8,11
network_030,9,10
network_030,9,11
network_030,10,11
network_031,0,1
network_031,0,2
network_031,0,3
network_031,0,8
network_031,0,9
network_031,0,11
network_031,1,2
network_031,2,3
network_031,2,8
network_031,3,4
network_031,3,9
network_031,4,5
network_031,5,6
network_031,5,10
network_031,5,11
network_031,6,7
network_031,6,9
network_031,7,8
network_031,8,9
network_031,9,10
network_031,10,11
network_032,0,1
network_032,0,2
network_032,0,3
network_032,0,11
network_032,1,2
network_032,1,3
network_032,1,9
network_032,1,11
network_032,2,3
network_032,2,7
network_032,2,10
network_032,3,4
network_032,4,5
network_032,5,6
network_032,6,7
network_032,7,8
network_032,7,11
network_032,8,9
network_032,9,10
network_032,10,11
network_033,0,1
network_033,0,11
network_033,1,2
network_033,1,3
network_033,2,3
network_033,3,4
network_033,4,5
network_033,5,6
network_033,5,7
network_033,6,7
network_033,6,10
network_033,7,8
network_033,8,9
network_033,8,10
network_033,8,11
network_033,9,10
network_033,10,11
network_034,0,1
network_034,0,8
network_034,0,10
network_034,0,11
network_034,1,2
network_034,1,4
network_034,1,5
network_034,1,9
network_034,1,10
network_034,2,3
network_034,3,4
network_034,3,7
network_034,3,11
network_034,4,5
network_034,5,6
network_034,6,7
network_034,7,8
network_034,7,9
network_034,7,11
network_034,8,9
network_034,9,10
network_034,10,11
network_035,0,1
network_035,0,2
network_035,0,5
network_035,0,9
network_035,0,10
network_035,0,11
network_035,1,2
network_035,1,4
network_035,1,6
network_035,2,3
network_035,2,4
network_035,2,8
network_035,2,11
network_035,3,4
network_035,3,6
network_035,4,5
network_035,5,6
network_035,6,7
network_035,7,8
network_035,8,9
network_035,9,10
network_035,10,11
network_036,0,1
network_036,0,2
network_036,0,3
network_036,0,11
network_036,1,2
network_036,1,3
network_036,2,3
network_036,3,4
network_036,4,5
network_036,4,7
network_036,5,6
network_036,5,7
network_036,6,7
network_036,6,10
network_036,7,8
network_036,8,9
network_036,8,10
network_036,9,10
network_036,9,11
network_036,10,11
network_037,0,1
network_037,0,9
network_037,0,11
network_037,1,2
network_037,1,11
network_037,2,3
network_037,2,4
network_037,2,9
network_037,3,4
network_037,3,7
network_037,3,9
network_037,4,5
network_037,4,8
network_037,5,6
network_037,6,7
network_037,6,9
network_037,7,8
network_037,7,9
network_037,8,9
network_037,8,10
network_037,9,10
network_037,10,11
network_038,0,1
network_038,0,4
network_038,0,5
network_038,0,11
network_038,1,2
network_038,1,3
network_038,1,6
network_038,1,7
network_038,1,11
network_038,2,3
network_038,2,6
network_038,2,9
network_038,3,4
network_038,3,6
network_038,3,8
network_038,3,9
network_038,4,5
network_038,4,11
network_038,5,6
network_038,5,9
network_038,6,7
network_038,7,8
network_038,8,9
network_038,9,10
network_038,10,11
network_039,0,1
network_039,0,2
network_039,0,10
network_039,0,11
network_039,1,2
network_039,2,3
network_039,3,4
network_039,4,5
network_039,4,6
network_039,4,7
network_039,5,6
network_039,6,7
network_039,7,8
network_039,8,9
network_039,8,11
network_039,9,10
network_039,9,11
network_039,10,11
network_040,0,1
network_040,0,2
network_040,0,4
network_040,0,5
network_040,0,6
network_040,0,11
network_040,1,2
network_040,1,4
network_040,1,5
network_040,2,3
network_040,2,5
network_040,2,9
network_040,3,4
network_040,3,11
network_040,4,5
network_040,5,6
network_040,6,7
network_040,7,8
network_040,8,9
network_040,9,10
network_040,10,11
network_041,0,1
network_041,0,3
network_041,0,11
network_041,1,2
network_041,1,3
network_041,1,4
network_041,2,3
network_041,2,4
network_041,2,11
network_041,3,4
network_041,4,5
network_041,4,11
network_041,5,6
network_041,6,7
network_041,7,8
network_041,8,9
network_041,9,10
network_041,10,11
network_042,0,1
network_042,0,2
network_042,0,3
network_042,0,9
network_042,0,11
network_042,1,2
network_042,1,3
network_042,1,8
network_042,2,3
network_042,3,4
network_042,3,10
network_042,4,5
network_042,4,6
network_042,4,7
network_042,5,6
network_042,6,7
network_042,7,8
network_042,8,9
network_042,8,10
network_042,8,11
network_042,9,10
network_042,9,11
network_042,10,11
network_043,0,1
network_043,0,9
network_043,0,11
network_043,1,2
network_043,1,4
network_043,1,8
network_043,1,9
network_043,2,3
network_043,2,6
network_043,3,4
network_043,3,7
network_043,4,5
network_043,5,6
network_043,6,7
network_043,7,8
network_043,8,9
network_043,9,10
network_043,10,11
network_044,0,1
network_044,0,2
network_044,0,3
network_044,0,11
network_044,1,2
network_044,1,5
network_044,1,10
network_044,1,11
network_044,2,3
network_044,3,4
network_044,3,8
network_044,3,11
network_044,4,5
network_044,4,8
network_044,5,6
network_044,5,10
network_044,6,7
network_044,7,8
network_044,8,9
network_044,9,10
network_044,10,11
network_045,0,1
network_045,0,3
network_045,0,11
network_045,1,2
network_045,2,3
network_045,3,4
network_045,4,5
network_045,4,6
network_045,5,6
network_045,5,7
network_045,6,7
network_045,7,8
network_045,8,9
network_045,8,10
network_045,8,11
network_045,9,10
network_045,9,11
network_045,10,11
network_046,0,1
network_046,0,10
network_046,0,11
network_046,1,2
network_046,1,3
network_046,1,7
network_046,1,8
network_046,2,3
network_046,3,4
network_046,3,11
network_046,4,5
network_046,4,7
network_046,4,8
network_046,4,11
network_046,5,6
network_046,6,7
network_046,6,10
network_046,7,8
network_046,8,9
network_046,9,10
network_046,10,11
network_047,0,1
network_047,0,2
network_047,0,3
network_047,0,4
network_047,0,11
network_047,1,2
network_047,2,3
network_047,2,6
network_047,2,10
network_047,3,4
network_047,4,5
network_047,4,11
network_047,5,6
network_047,5,8
network_047,6,7
network_047,7,8
network_047,8,9
network_047,9,10
network_047,10,11
network_048,0,1
network_048,0,2
network_048,0,3
network_048,0,11
network_048,1,2
network_048,1,3
network_048,2,3
network_048,3,4
network_048,4,5
network_048,4,6
network_048,5,6
network_048,5,7
network_048,6,7
network_048,7,8
network_048,8,9
network_048,8,10
network_048,8,11
network_048,9,10
network_048,9,11
network_048,10,11
network_049,0,1
network_049,0,4
network_049,0,7
network_049,0,11
network_049,1,2
network_049,1,5
network_049,2,3
network_049,2,8
network_049,2,9
network_049,2,11
network_049,3,4
network_049,3,9
network_049,4,5
network_049,4,7
network_049,5,6
network_049,6,7
network_049,7,8
network_049,7,9
network_049,7,11
network_049,8,9
network_049,9,10
network_049,10,11
network_050,0,1
network_050,0,2
network_050,0,5
network_050,0,10
network_050,0,11
network_050,1,2
network_050,1,3
network_050,2,3
network_050,2,6
network_050,2,8
network_050,2,9
network_050,2,11
network_050,3,4
network_050,3,6
network_050,3,8
network_050,4,5
network_050,5,6
network_050,5,9
network_050,6,7
network_050,7,8
network_050,8,9
network_050,9,10
network_050,9,11
network_050,10,11
network_051,0,1
network_051,0,2
network_051,0,3
network_051,0,4
network_051,0,11
network_051,1,2
network_051,1,3
network_051,1,6
network_051,2,3
network_051,3,4
network_051,4,5
network_051,4,6
network_051,4,7
network_051,5,6
network_051,5,7
network_051,6,7
network_051,7,8
network_051,7,11
network_051,8,9
network_051,9,10
network_051,10,11
network_052,0,1
network_052,0,2
network_052,0,7
network_052,0,11
network_052,1,2
network_052,1,6
network_052,2,3
network_052,2,4
network_052,2,5
network_052,2,9
network_052,2,10
network_052,3,4
network_052,3,7
network_052,4,5
network_052,4,6
network_052,4,7
network_052,4,8
network_052,5,6
network_052,5,11
network_052,6,7
network_052,7,8
network_052,8,9
network_052,9,10
network_052,10,11
network_053,0,1
network_053,0,2
network_053,0,3
network_053,0,7
network_053,0,10
network_053,0,11
network_053,1,2
network_053,1,3
network_053,1,4
network_053,1,6
network_053,1,7
network_053,1,10
network_053,1,11
network_053,2,3
network_053,3,4
network_053,3,7
network_053,4,5
network_053,4,7
network_053,5,6
network_053,6,7
network_053,7,8
network_053,8,9
network_053,9,10
network_053,10,11
network_054,0,1
network_054,0,2
network_054,0,3
network_054,0,10
network_054,0,11
network_054,1,2
network_054,1,3
network_054,2,3
network_054,2,11
network_054,3,4
network_054,4,5
network_054,4,6
network_054,4,7
network_054,5,6
network_054,6,7
network_054,7,8
network_054,8,9
network_054,8,10
network_054,8,11
network_054,9,10
network_054,9,11
network_054,10,11
network_055,0,1
network_055,0,5
network_055,0,6
network_055,0,7
network_055,0,11
network_055,1,2
network_055,1,3
network_055,1,6
network_055,2,3
network_055,3,4
network_055,3,8
network_055,3,9
network_055,4,5
network_055,4,8
network_055,5,6
network_055,5,9
network_055,6,7
network_055,6,9
network_055,7,8
network_055,7,9
network_055,7,10
network_055,8,9
network_055,9,10
network_055,9,11
network_055,10,11
network_056,0,1
network_056,0,2
network_056,0,3
network_056,0,7
network_056,0,8
network_056,0,9
network_056,0,11
network_056,1,2
network_056,1,3
network_056,1,4
network_056,1,5
network_056,1,9
network_056,2,3
network_056,2,5
network_056,2,11
network_056,3,4
network_056,3,9
network_056,3,11
network_056,4,5
network_056,5,6
network_056,6,7
network_056,7,8
network_056,8,9
network_056,9,10
network_056,9,11
network_056,10,11
network_057,0,1
network_057,0,3
network_057,0,11
network_057,1,2
network_057,1,9
network_057,2,3
network_057,3,4
network_057,4,5
network_057,4,6
network_057,5,6
network_057,5,7
network_057,6,7
network_057,7,8
network_057,8,9
network_057,8,11
network_057,9,10
network_057,9,11
network_057,10,11
network_058,0,1
network_058,0,2
network_058,0,9
network_058,0,11
network_058,1,2
network_058,1,4
network_058,1,8
network_058,2,3
network_058,2,11
network_058,3,4
network_058,3,8
network_058,3,11
network_058,4,5
network_058,4,9
network_058,5,6
network_058,5,11
network_058,6,7
network_058,7,8
network_058,7,10
network_058,8,9
network_058,9,10
network_058,10,11
network_059,0,1
network_059,0,2
network_059,0,6
network_059,0,11
network_059,1,2
network_059,1,3
network_059,1,7
network_059,1,9
network_059,1,11
network_059,2,3
network_059,2,4
network_059,2,8
network_059,2,11
network_059,3,4
network_059,3,9
network_059,3,10
network_059,4,5
network_059,4,9
network_059,5,6
network_059,5,11
network_059,6,7
network_059,6,11
network_059,7,8
network_059,8,9
network_059,9,10
network_059,10,11
network_060,0,1
network_060,0,2
network_060,0,3
network_060,0,11
network_060,1,2
network_060,1,3
network_060,2,3
network_060,3,4
network_060,3,6
network_060,4,5
network_060,4,6
network_060,4,7
network_060,5,6
network_060,5,7
network_060,6,7
network_060,7,8
network_060,8,9
network_060,8,10
network_060,8,11
network_060,9,10
network_060,10,11
network_061,0,1
network_061,0,11
network_061,1,2
network_061,1,8
network_061,1,11
network_061,2,3
network_061,2,10
network_061,3,4
network_061,3,8
network_061,3,9
network_061,3,11
network_061,4,5
network_061,4,7
network_061,4,9
network_061,5,6
network_061,5,11
network_061,6,7
network_061,7,8
network_061,7,9
network_061,7,10
network_061,8,9
network_061,8,10
network_061,9,10
network_061,9,11
network_061,10,11
network_062,0,1
network_062,0,2
network_062,0,5
network_062,0,6
network_062,0,8
network_062,0,11
network_062,1,2
network_062,1,3
network_062,1,7
network_062,1,8
network_062,1,10
network_062,2,3
network_062,2,4
network_062,2,5
network_062,3,4
network_062,3,7
network_062,4,5
network_062,4,10
network_062,5,6
network_062,5,11
network_062,6,7
network_062,7,8
network_062,8,9
network_062,9,10
network_062,10,11
network_063,0,1
network_063,0,3
network_063,0,11
network_063,1,2
network_063,1,3
network_063,2,3
network_063,3,4
network_063,4,5
network_063,4,7
network_063,5,6
network_063,5,7
network_063,6,7
network_063,7,8
network_063,8,9
network_063,8,10
network_063,8,11
network_063,9,10
network_063,10,11
network_064,0,1
network_064,0,11
network_064,1,2
network_064,1,8
network_064,1,9
network_064,2,3
network_064,2,10
network_064,3,4
network_064,3,10
network_064,4,5
network_064,4,8
network_064,5,6
network_064,5,10
network_064,5,11
network_064,6,7
network_064,6,8
network_064,7,8
network_064,7,9
network_064,7,10
network_064,8,9
network_064,9,10
network_064,10,11
network_065,0,1
network_065,0,2
network_065,0,3
network_065,0,11
network_065,1,2
network_065,1,3
network_065,1,5
network_065,1,6
network_065,1,10
network_065,1,11
network_065,2,3
network_065,3,4
network_065,3,6
network_065,3,8
network_065,4,5
network_065,5,6
network_065,5,11
network_065,6,7
network_065,7,8
network_065,7,10
network_065,7,11
network_065,8,9
network_065,9,10
network_065,9,11
network_065,10,11
network_066,0,1
network_066,0,2
network_066,0,4
network_066,0,7
network_066,0,11
network_066,1,2
network_066,2,3
network_066,2,6
network_066,3,4
network_066,3,7
network_066,4,5
network_066,4,6
network_066,4,7
network_066,5,6
network_066,5,7
network_066,6,7
network_066,7,8
network_066,8,9
network_066,8,10
network_066,8,11
network_066,9,10
network_066,9,11
network_066,10,11
network_067,0,1
network_067,0,8
network_067,0,10
network_067,0,11
network_067,1,2
network_067,1,7
network_067,2,3
network_067,2,5
network_067,2,6
network_067,2,10
network_067,3,4
network_067,4,5
network_067,4,8
network_067,5,6
network_067,5,8
network_067,6,7
network_067,7,8
network_067,8,9
network_067,8,11
network_067,9,10
network_067,10,11
network_068,0,1
network_068,0,3
network_068,0,4
network_068,0,7
network_068,0,11
network_068,1,2
network_068,1,3
network_068,1,9
network_068,2,3
network_068,2,4
network_068,2,7
network_068,2,10
network_068,3,4
network_068,3,6
network_068,3,8
network_068,4,5
network_068,4,6
network_068,5,6
network_068,5,9
network_068,5,10
network_068,6,7
network_068,7,8
network_068,8,9
network_068,9,10
network_068,9,11
network_068,10,11
network_069,0,1
network_069,0,2
network_069,0,3
network_069,0,9
network_069,0,11
network_069,1,2
network_069,1,3
network_069,1,6
network_069,2,3
network_069,2,10
network_069,3,4
network_069,4,5
network_069,4,6
network_069,4,8
network_069,4,11
network_069,5,6
network_069,6,7
network_069,7,8
network_069,7,9
network_069,8,9
network_069,9,10
network_069,10,11
network_070,0,1
network_070,0,3
network_070,0,6
network_070,0,11
network_070,1,2
network_070,1,8
network_070,2,3
network_070,2,9
network_070,3,4
network_070,3,8
network_070,3,11
network_070,4,5
network_070,4,6
network_070,4,8
network_070,4,10
network_070,5,6
network_070,5,9
network_070,6,7
network_070,7,8
network_070,7,11
network_070,8,9
network_070,9,10
network_070,9,11
network_070,10,11
network_071,0,1
network_071,0,2
network_071,0,11
network_071,1,2
network_071,1,3
network_071,1,4
network_071,1,5
network_071,1,6
network_071,1,8
network_071,2,3
network_071,2,7
network_071,2,9
network_071,3,4
network_071,4,5
network_071,5,6
network_071,6,7
network_071,7,8
network_071,7,10
network_071,8,9
network_071,9,10
network_071,10,11
network_072,0,1
network_072,0,3
network_072,0,4
network_072,0,6
network_072,0,11
network_072,1,2
network_072,1,3
network_072,2,3
network_072,2,10
network_072,3,4
network_072,3,7
network_072,4,5
network_072,4,6
network_072,5,6
network_072,5,7
network_072,6,7
network_072,6,9
network_072,6,10
network_072,7,8
network_072,8,9
network_072,8,10
network_072,9,10
network_072,10,11
network_073,0,1
network_073,0,2
network_073,0,6
network_073,0,7
network_073,0,11
network_073,1,2
network_073,1,7
network_073,1,8
network_073,2,3
network_073,3,4
network_073,3,7
network_073,4,5
network_073,4,6
network_073,5,6
network_073,6,7
network_073,7,8
network_073,8,9
network_073,9,10
network_073,9,11
network_073,10,11
network_074,0,1
network_074,0,2
network_074,0,3
network_074,0,5
network_074,0,8
network_074,0,11
network_074,1,2
network_074,1,4
network_074,1,9
network_074,1,10
network_074,1,11
network_074,2,3
network_074,2,11
network_074,3,4
network_074,4,5
network_074,5,6
network_074,6,7
network_074,7,8
network_074,8,9
network_074,9,10
network_074,10,11
network_075,0,1
network_075,0,2
network_075,0,3
network_075,0,11
network_075,1,2
network_075,1,3
network_075,2,3
network_075,2,8
network_075,3,4
network_075,4,5
network_075,4,7
network_075,5,6
network_075,6,7
network_075,7,8
network_075,8,9
network_075,8,10
network_075,9,10
network_075,9,11
network_075,10,11
network_076,0,1
network_076,0,6
network_076,0,8
network_076,0,11
network_076,1,2
network_076,1,3
network_076,1,8
network_076,1,11
network_076,2,3
network_076,2,5
network_076,2,11
network_076,3,4
network_076,3,10
network_076,4,5
network_076,4,9
network_076,5,6
network_076,5,8
network_076,6,7
network_076,7,8
network_076,7,11
network_076,8,9
network_076,9,10
network_076,9,11
network_076,10,11
network_077,0,1
network_077,0,2
network_077,0,3
network_077,0,8
network_077,0,11
network_077,1,2
network_077,1,3
network_077,1,10
network_077,1,11
network_077,2,3
network_077,2,6
network_077,2,8
network_077,3,4
network_077,3,9
network_077,3,10
network_077,4,5
network_077,5,6
network_077,6,7
network_077,7,8
network_077,7,9
network_077,7,10
network_077,8,9
network_077,9,10
network_077,10,11
network_078,0,1
network_078,0,3
network_078,0,11
network_078,1,2
network_078,1,3
network_078,2,3
network_078,2,4
network_078,3,4
network_078,4,5
network_078,4,6
network_078,4,7
network_078,5,6
network_078,5,7
network_078,6,7
network_078,7,8
network_078,8,9
network_078,8,11
network_078,9,10
network_078,10,11
network_079,0,1
network_079,0,5
network_079,0,11
network_079,1,2
network_079,1,7
network_079,2,3
network_079,2,4
network_079,3,4
network_079,3,6
network_079,3,10
network_079,4,5
network_079,4,11
network_079,5,6
network_079,6,7
network_079,6,10
network_079,7,8
network_079,8,9
network_079,9,10
network_079,10,11
network_080,0,1
